datetime,Tin,Q_heater
2025-08-31 15:00:00,64.480049748018,0.0
2025-08-31 16:00:00,62.81817780846912,0.0
2025-08-31 17:00:00,60.418407772100416,0.0
2025-08-31 18:00:00,57.451901156097485,0.0
2025-08-31 19:00:00,56.60931833835004,0.0
2025-08-31 20:00:00,55.77653562693985,0.0
2025-08-31 21:00:00,54.953336018222906,0.0
2025-08-31 22:00:00,54.13950731366446,0.0
2025-08-31 23:00:00,53.33705631231066,0.0
2025-09-01 00:00:00,52.54573107780787,0.0
2025-09-01 01:00:00,51.767499551297455,0.0
2025-09-01 02:00:00,51.00207179895114,0.0
2025-09-01 03:00:00,50.2513786058133,0.0
2025-09-01 04:00:00,49.51730800357685,0.0
2025-09-01 05:00:00,49.003006114646766,0.0
2025-09-01 06:00:00,47.33231109443488,0.0
2025-09-01 07:00:00,46.517478535164656,0.0
2025-09-01 08:00:00,46.35000197217498,0.0
2025-09-01 09:00:00,46.50126684811943,0.0
2025-09-01 10:00:00,46.5486025204445,0.0
2025-09-01 11:00:00,46.13431337313733,0.0
2025-09-01 12:00:00,45.31065493592259,0.0
2025-09-01 13:00:00,44.194043594971305,0.0
2025-09-01 14:00:00,43.20154900637813,0.0
2025-09-01 15:00:00,42.35573027252438,0.0
2025-09-01 16:00:00,41.79814470262248,0.0
2025-09-01 17:00:00,41.1235576614699,0.0
2025-09-01 18:00:00,39.64099422382282,0.0
2025-09-01 19:00:00,39.12858344995374,0.0
2025-09-01 20:00:00,38.61201888996805,0.0
2025-09-01 21:00:00,38.09360681997599,0.0
2025-09-01 22:00:00,37.58003104598421,0.0
2025-09-01 23:00:00,37.0733987768161,0.0
2025-09-02 00:00:00,36.573556262522736,0.0
2025-09-02 01:00:00,36.08035315763857,0.0
2025-09-02 02:00:00,35.59142814692487,0.0
2025-09-02 03:00:00,35.11111509833299,0.0
2025-09-02 04:00:00,34.64143761615402,0.0
2025-09-02 05:00:00,34.645149961126954,0.0
2025-09-02 06:00:00,35.099434685798094,0.0
2025-09-02 07:00:00,37.983621376074574,0.0
2025-09-02 08:00:00,42.983621376074574,0.0
2025-09-02 09:00:00,47.983621376074574,0.0
2025-09-02 10:00:00,52.983621376074574,0.0
2025-09-02 11:00:00,57.983621376074574,0.0
2025-09-02 12:00:00,62.983621376074574,0.0
2025-09-02 13:00:00,67.98362137607458,0.0
2025-09-02 14:00:00,72.958774928155,0.0
2025-09-02 15:00:00,75.90256060436852,0.0
2025-09-02 16:00:00,76.46070507575203,0.0
2025-09-02 17:00:00,74.66925555111267,0.0
2025-09-02 18:00:00,71.01573423604111,0.0
2025-09-02 19:00:00,69.86173612116522,0.0
2025-09-02 20:00:00,68.70893368593747,0.0
2025-09-02 21:00:00,67.55951475330804,0.0
2025-09-02 22:00:00,66.41783300015938,0.0
2025-09-02 23:00:00,65.28814569995586,0.0
